cdmTableName,cdmFieldName,checkName,Threshold,checkParameter,checkParameter_conceptId,checkParameter_conceptName,checkParameter_unitConceptId,checkParameter_unitConceptName,Notes
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,195009,Leukoplakia of penis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195012,Intermenstrual bleeding - irregular,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195197,Primary malignant neoplasm of vulva,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195316,Atypical endometrial hyperplasia,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195321,Postmenopausal bleeding,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,195483,Primary malignant neoplasm of penis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195500,Benign neoplasm of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195501,Polycystic ovaries,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,195683,Open wound of penis without complication,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195769,Submucous leiomyoma of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195770,Subserous leiomyoma of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195793,Neoplasm of uncertain behavior of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195867,Noninflammatory disorder of the vagina,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,195873,Leukorrhea,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196048,Primary malignant neoplasm of vagina,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196051,Overlapping malignant neoplasm of female genital organs,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,196068,Carcinoma in situ of male genital organ,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,196157,Induratio penis plastica,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,196158,Disorder of penis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196163,Cervicitis and endocervicitis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196165,Cervical intraepithelial neoplasia grade 2,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196168,Irregular periods,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196359,Primary malignant neoplasm of uterine cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196364,Benign neoplasm of uterine cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196473,Hypertrophy of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,196734,Disorder of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,196738,Disorder of male genital organ,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,196758,Tumor of body of uterus affecting pregnancy,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,197032,Hyperplasia of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,197039,Male genital organ vascular diseases,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,197044,Female infertility associated with anovulation,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,197236,Uterine leiomyoma,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,197237,Benign neoplasm of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,197507,Primary malignant neoplasm of male genital organ,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,197601,Spermatocele,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,197605,Inflammatory disorder of male genital organ,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,197606,Female infertility of tubal origin,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,197607,Excessive and frequent menstruation,,,
